wl,fighterx,fightery,agex,heightx,reachx,slpmx,stacx,sapmx,tdavgx,tdaccx,tddefx,subavgx,winsx,lossesx,drawsx,stanceopenstancex,stanceorthodoxx,stancesouthpawx,stanceswitchx,agey,heighty,reachy,slpmy,stacy,sapmy,tdavgy,tdaccy,tddefy,subavgy,winsy,lossesy,drawsy,stanceopenstancey,stanceorthodoxy,stancesouthpawy,stanceswitchy
0,Bethe Correia,Holly Holm,40,65,64,4,43,56,0,18,85,0,11,6,1,0,1,0,0,42,68,69,3,40,56,0,30,78,0,15,6,0,0,0,1,0
1,Bevon Lewis,Dequan Townsend,32,75,79,3,43,54,0,0,66,0,7,3,0,0,1,0,0,37,75,79,1,34,38,0,0,46,0,21,12,0,0,1,0,0
0,Bevon Lewis,Trevin Giles,32,75,79,3,43,54,0,0,66,0,7,3,0,0,1,0,0,31,72,74,3,55,58,1,50,71,0,16,6,0,0,1,0,0
0,Bharat Kandare,Song Yadong,36,67,72,0,10,72,0,0,0,0,5,3,0,0,1,0,0,26,68,67,4,42,57,0,58,73,0,21,7,1,0,1,0,0
0,Bibulatov Magomed,Rogerio Bontorin,35,65,65,3,51,52,2,40,75,0,14,2,0,0,1,0,0,31,65,67,2,52,50,2,60,51,1,16,4,0,0,1,0,0
1,Bibulatov Magomed,Jenel Lausa,35,65,65,3,51,52,2,40,75,0,14,2,0,0,1,0,0,35,65,68,1,42,53,0,66,51,0,7,5,0,0,1,0,0
1,Bill Algeo,Spike Carlyle,34,72,73,6,52,47,0,46,56,0,18,7,0,0,0,0,1,30,68,71,2,54,30,3,36,57,0,9,3,0,0,0,0,1
0,Bill Algeo,Andre Fili,34,72,73,6,52,47,0,46,56,0,18,7,0,0,0,0,1,33,71,74,3,37,51,2,47,69,0,23,11,0,0,1,0,0
1,Billy Goff,Yusaku Kinoshita,25,70,72,10,46,64,4,40,10,0,9,2,0,0,0,0,1,23,72,71,4,50,51,0,0,50,0,6,3,0,0,0,1,0
1,Billy Quarantillo,Gabriel Benitez,35,70,70,7,57,43,1,23,63,1,18,5,0,0,1,0,0,35,68,71,4,41,62,0,50,55,1,23,12,0,0,0,1,0
