fighter,age,height,reach,slpm,stac,sapm,tdavg,tdacc,tddef,subavg,wins,losses,draws
Dylan Potter,29.0,74,77,3.1,48,46,0.0,0,33,1.1,10,6,0
Darren Uyenoyama,44.0,66,65,1.34,39,66,1.42,33,35,0.7,10,6,0
Brett Johns,32.0,67,71,2.86,49,53,4.92,49,58,1.0,17,2,0
Kyle Bochniak,37.0,67,70,2.63,31,58,1.14,15,62,0.0,8,5,0
George Hardwick,27.0,70,72,3.6,38,71,0.0,0,83,0.0,12,2,0
Matt Dixon,28.0,70,75,1.97,43,37,3.06,30,0,0.0,9,1,0
Victor Reyna,37.0,71,74,5.8,63,42,0.0,0,10,0.0,11,5,0
Wanderlei Silva,47.0,71,74,2.79,40,60,0.97,53,62,0.6,35,13,1
Dong Hyun Ma,35.0,71,70,2.84,41,54,1.27,53,33,0.0,16,11,3
Zak Cummings,39.0,72,75,2.96,35,55,0.62,28,66,0.6,25,7,0
Nick Urso,38.0,66,66,3.61,45,36,0.0,0,0,0.0,10,3,0
Antoni Hardonk,48.0,76,78,3.4,61,46,0.0,0,40,0.9,8,6,0
Brian Kelleher,37.0,66,66,3.39,41,54,1.74,41,60,0.7,24,15,0
Rory Singer,47.0,74,77,2.55,39,63,0.39,25,64,0.8,11,9,0
Aleksandra Albu,33.0,62,63,4.83,47,38,2.27,50,77,0.4,3,2,0
Alexander Volkanovski,35.0,66,71,6.16,56,58,1.78,37,70,0.2,26,4,0
Khalil Rountree Jr.,34.0,73,76,3.84,39,50,0.0,0,58,0.1,14,5,0
Rostem Akman,32.0,70,72,1.8,25,57,1.0,40,87,0.0,6,2,0
Leonardo Mafra,34.0,70,70,4.55,48,43,2.12,83,69,0.4,13,4,0
Magomed Gadzhiyasulov,30.0,74,75,4.87,46,73,6.0,85,10,0.0,8,0,0
Joey Gomez,34.0,70,71,3.73,49,50,2.0,28,0,0.0,7,1,0
Tyler Diamond,32.0,67,69,3.4,47,44,3.0,75,70,0.0,9,1,0
Irene Aldana,35.0,69,68,5.24,40,57,0.16,50,76,0.2,15,7,0
Sean Spencer,36.0,70,74,4.24,32,60,0.14,33,68,0.0,12,6,0
Mackenzie Dern,30.0,64,63,3.31,40,51,0.79,15,28,1.3,13,5,0
Dennis Hallman,48.0,69,72,1.12,44,43,1.79,30,25,2.1,53,20,2
Francisco Trevino,42.0,69,70,2.65,42,64,0.97,22,41,0.0,13,3,0
Luke Barnatt,35.0,78,77,4.43,36,59,0.63,42,63,0.4,13,4,0
Koyomi Matsushima,31.0,67,66,2.7,47,59,9.0,52,33,0.0,13,6,0
Omar Morales,38.0,71,73,3.42,40,58,0.46,10,63,0.0,11,4,0
Ashkan Mokhtarian,38.0,66,67,1.95,43,43,0.54,16,33,0.0,13,3,0
Rani Yahya,39.0,66,67,1.59,37,50,2.86,32,24,1.9,28,11,1
Amanda Ribas,30.0,63,66,4.92,42,63,1.99,51,87,0.8,12,4,0
Ray Borg,30.0,64,63,1.52,52,48,3.89,50,46,1.0,13,5,0
Mike Grundy,37.0,67,72,2.09,45,56,4.06,28,50,0.4,12,4,0
Alex Karalexis,46.0,68,66,2.57,42,54,2.7,45,86,0.9,10,6,0
Clay Collard,30.0,71,73,4.22,32,50,2.81,39,71,0.5,14,7,0
Kaik Brito,26.0,71,72,2.8,38,55,0.0,0,55,2.0,16,5,0
Joshua Burkman,43.0,70,72,2.69,43,51,2.53,36,72,0.3,28,16,0
Matthew Lopez,37.0,67,69,3.13,50,55,3.32,60,71,1.3,10,4,0
Gasan Umalatov,41.0,71,71,2.23,39,59,0.75,17,90,0.0,17,4,2
Kamal Shalorus,51.0,68,68,3.06,32,70,2.07,50,80,0.0,9,5,2
Ike Villanueva,39.0,73,73,3.66,38,36,0.6,50,10,0.0,18,14,0
Christian Lohsen,29.0,74,77,5.27,49,44,0.0,0,0,2.0,4,2,0
Grigory Popov,39.0,67,68,3.63,37,55,0.0,0,45,0.0,13,3,0
Mark Coleman,59.0,73,75,1.88,52,40,3.89,40,50,0.8,16,10,0
Jimmy Flick,33.0,67,68,1.7,50,40,1.79,26,0,5.4,17,7,0
Cristiano Marcello,46.0,69,72,2.56,33,58,0.44,11,20,0.9,13,6,0
Rashid Magomedov,39.0,69,70,4.4,49,54,0.67,57,89,0.2,20,2,0
Joselyne Edwards,28.0,68,70,4.71,52,50,1.0,33,64,0.3,13,5,0
Misha Cirkunov,37.0,75,77,3.86,51,57,4.15,39,76,1.7,15,9,0
Dominick Cruz,38.0,68,68,3.91,33,70,2.82,42,83,0.1,24,4,0
Viviane Pereira,30.0,61,63,2.7,30,58,0.25,10,28,0.2,13,2,0
Austin Arnett,32.0,72,72,4.52,41,62,0.44,18,57,0.2,16,6,0
Francis Carmont,42.0,75,78,2.22,42,59,1.79,36,73,0.6,25,12,0
Shana Dobson,34.0,66,69,3.34,37,50,0.84,50,14,0.0,4,5,0
Isaac Vallie-Flagg,45.0,68,70,5.56,47,45,0.2,12,58,0.0,16,7,1
Collin Huckbody,29.0,75,76,2.05,60,42,10.2,10,0,20.4,8,2,0
Edmen Shahbazyan,26.0,74,75,3.46,51,43,2.17,39,63,0.6,12,4,0
Collin Anglin,31.0,69,71,4.59,48,51,2.28,66,10,0.0,8,3,0
Viacheslav Borshchev,32.0,71,69,5.82,58,56,0.0,0,36,0.0,7,3,1
Pedro Falcao,31.0,66,66,3.02,60,65,3.23,60,83,0.0,15,3,0
Anthony Hernandez,30.0,72,75,4.3,59,45,6.62,49,63,3.0,12,2,0
Justin Scoggins,31.0,67,66,3.56,51,55,3.42,63,82,0.5,11,5,0
Dan Miller,42.0,73,74,2.03,36,49,1.67,54,47,1.8,14,8,0
Royston Wee,37.0,67,67,1.1,60,49,3.38,81,0,0.0,4,1,0
Mike Brown,48.0,66,70,2.98,44,60,3.23,40,66,0.6,26,9,0
Tom Aspinall,30.0,77,78,7.72,66,66,3.46,10,10,1.7,14,3,0
Natalia Silva,27.0,64,65,4.53,44,65,0.5,28,91,0.0,17,5,1
Chad Anheliger,37.0,66,64,3.07,42,51,1.03,36,47,0.8,12,7,0
Jonathan Brookins,38.0,72,74,2.69,39,56,1.94,17,80,0.3,16,10,0
Jacob Kilburn,28.0,69,72,2.56,33,35,0.51,5%,20,0.5,8,4,0
Rolando Dy,33.0,68,69,3.04,37,52,0.3,20,68,0.0,9,7,1
Caolan Loughran,27.0,66,68,3.2,36,48,2.0,18,0,0.0,8,1,0
Jarred Brooks,30.0,63,62,2.12,46,62,4.54,57,69,0.6,13,2,0
George Sotiropoulos,46.0,70,71,2.61,27,67,2.32,31,53,1.6,14,7,0
Jeremy Larsen,39.0,70,70,4.87,48,57,2.49,33,0,0.0,8,5,0
Aspen Ladd,29.0,66,66,3.78,47,47,1.56,47,62,0.6,9,3,0
Alan Belcher,39.0,74,75,2.7,41,59,0.44,26,55,0.9,18,8,0
Ivan Valenzuela,31.0,74,77,0.0,0,33,0.0,0,0,0.0,8,2,0
Douglas Silva de Andrad,38.0,67,68,3.66,38,58,0.61,46,70,0.2,29,5,0
Keisuke Sasu,29.0,65,69,2.76,49,48,3.76,40,61,1.9,11,3,1
